Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_RP24 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,BASALT [1230],14.24,39.00,19.00
s_111 [481],ST. HELENA CHAIN / ST. HELENA / NORTHEASTERN VOLCANO / SHIELD STAGE,-15.95,-5.70,"BASALT, ALKALINE [481]",17.56,39.00,41.00
s_KLA1512 [4795],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.50,-18.00,PHONOTEPHRITE [4795] / NOT GIVEN [21412],17.60,39.00,69.00
s_D686.5 [789],MARQUESAS / EIAO,-8.00,-140.67,"THOLEIITE, OLIVINE [789]",12.97,40.00,4.00
s_SN8 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],15.55,40.00,6.70
s_71HALW-4 [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],14.70,40.00,8.82
s_I681 [18177],ICELAND / ICELAND / SKAFTAFELL / EASTERN ICELAND RIFT ZONE,64.03,-16.96,BASALT [18177],14.10,40.00,12.80
s_AZ05-AN [19003],AZORES / FAIAL,38.60,-28.60,NOT GIVEN [19003],19.91,40.00,23.00
s_TF82 [1501],CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA,28.14,-16.62,BASALT [1501],16.01,40.00,41.00
RRT40,Rurutu,-22.42,-151.33,,14.79,40.46,10.20
s_IB1913 [14919],ICELAND / ICELAND / ASKJA,65.04,-16.79,BASALT [14919],12.90,40.70,12.80
s_IA1904 [14919],ICELAND / ICELAND / ASKJA,65.07,-16.73,BASALT [14919],12.79,41.00,13.30
s_AG99-124 [7525],KERGUELEN / KERGUELEN ARCHIPELAGO,-49.35,69.89,"BASALT, ALKALINE [7525]",15.38,41.00,26.30
s_GM92-31 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.50,"BASALT, TRANSITIONAL [973]",13.15,41.00,27.80
s_TDC55 [521],TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.05,-12.30,BASANITE [521],15.93,41.00,46.00
s_I1601 [12148],ICELAND / ICELAND,65.16,-13.65,NOT GIVEN [12148],13.24,41.20,7.19
s_I1501 [12148],ICELAND / ICELAND,65.03,-13.60,NOT GIVEN [12148],13.83,41.90,4.12
s_MA-123 [3348],MADEIRA ARCHIPELAGO / MADEIRA,32.76,-16.81,THOLEIITE [3348],13.57,42.00,1.80
s_GM92-45 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.50,"BASALT, TRANSITIONAL [973]",12.89,42.00,22.80
s_TF123 [1501],CANARY ISLANDS / TENERIFE,28.32,-16.50,BASALT [1501],16.58,42.00,52.00
s_NK96 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140.00,BENMOREITE [7516],17.15,42.00,106.00
s_FL-09-20 [16341],AZORES / FLORES / UPPER VOLCANIC COMPLEX,39.50,-31.23,BASALT [16341] / NOT GIVEN [19965],16.19,42.12,27.43
s_IB1401 [12148],ICELAND / ICELAND,64.65,-14.35,NOT GIVEN [12148],13.12,42.50,6.15
s_I1402 [12148],ICELAND / ICELAND,64.66,-14.31,NOT GIVEN [12148],13.31,42.60,4.00
s_M5.3+375F [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],14.00,42.80,5.83
s_GM92-153 [973],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT RABOUILLERE,-48.55,68.50,"BASALT, TRANSITIONAL [973] / BASALT [5176]",13.03,43.00,18.30
s_93-505 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.50,BASALT [10516],13.31,43.00,18.90
s_SA [856],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / GUIGUI/HOGARZALES FORMATIONS,28.00,-15.60,BASALT [856],14.33,43.00,19.70
s_8 [481],ST. HELENA CHAIN / ST. HELENA / NORTHEASTERN VOLCANO / SHIELD STAGE,-15.95,-5.70,"BASALT, ALKALINE [481]",17.57,43.00,22.00
s_I2201 [12148],ICELAND / ICELAND,65.18,-14.06,NOT GIVEN [12148],13.32,43.20,14.30
s_71PELE-19 [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],13.70,43.80,3.20
s_I1311 [12148],ICELAND / ICELAND,64.69,-14.62,NOT GIVEN [12148],13.08,43.80,4.61
s_I1603 [12148],ICELAND / ICELAND,65.16,-13.65,NOT GIVEN [12148],12.95,43.90,13.50
s_AZ05-AF [19003],AZORES / SAO JORGE,38.58,-27.92,NOT GIVEN [19003],16.60,44.00,24.00
s_437DR-1 [9503],MADEIRA ARCHIPELAGO / MADEIRA,32.30,-16.91,NOT GIVEN [9503],14.80,44.00,25.90
s_MG4B [118],HAWAIIAN ISLANDS / HAWAII / KOHALA / SHIELD STAGE / POLOLU SERIES,20.23,-155.80,"BASALT, TRANSITIONAL [118] / BASALT, ALKALINE [42] / NOT GIVEN [15719]",18.15,44.00,37.20
s_71PELE-21 [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],13.80,44.10,2.10
s_IB1403 [12148],ICELAND / ICELAND,64.61,-14.77,NOT GIVEN [12148],12.63,44.30,5.45
s_I1509 [12148],ICELAND / ICELAND,65.03,-13.74,NOT GIVEN [12148],12.95,44.70,4.68
s_93-495 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.50,BASALT [10516],13.20,45.00,12.70
"s_74-525A-59-4,35-39 [2380]",WALVIS RIDGE / EASTERN WALVIS RIDGE PROVINCE / SITE 525,-29.07,2.99,BASALT [2380],13.95,45.00,18.80
s_20Y [16348],MARQUESAS / HIVA OA / TEMETIU / SHIELD STAGE,-9.85,-139.06,"THOLEIITE, OLIVINE [16348]",16.60,45.00,26.00
s_115-080 [5653],CAPE VERDE ISLANDS / SAO VICENTE / OLD VOLCANICS,14.90,-24.30,BASANITE [5653],14.98,45.00,30.70
s_71WAIK-14F [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],14.20,45.20,3.47
s_IC2708 [14919],ICELAND / ICELAND / ASKJA,65.64,-16.37,BASALT [14919],12.79,45.50,10.90
s_H26 [9565],ICELAND / ICELAND / EASTERN ICELAND RIFT ZONE,65.66,-16.40,"THOLEIITE, QUARTZ [9565]",13.00,46.00,12.20
s_BY96-45 [5177],KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES,-48.87,68.96,BASALT [5177],16.17,46.00,14.20
s_G192-10 [10282],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.98,-91.44,"BASALT [10282] / BASALT, ALKALINE [1497]",13.97,46.00,14.66
s_PMT-98 [15668],AZORES / TERCEIRA,38.72,-27.22,HAWAIITE [15668],14.26,46.00,28.00
s_S2 [696],AZORES / SAO MIGUEL / AGUA DE PAO / FOGO A ERUPTION,37.80,-25.50,"BASALT, ALKALINE [696] / NOT GIVEN [18632]",16.58,46.00,65.00
s_IC-0315 [14961],ICELAND / ICELAND / HEKLA,64.02,-19.65,BASALT [14961],13.22,46.87,13.01
s_H-13 [41],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,19.50,-155.70,"BASALT [41] / BASALT, ALKALINE [157]",14.55,47.00,6.40
s_362 [13086] / s_121-362 [14545],CAPE VERDE ISLANDS / SANTIAGO / LOW-SI GROUP,15.17,-23.60,BASANITE [13086],12.45,47.00,8.00
s_442DR-3 [9503],MADEIRA ARCHIPELAGO / MADEIRA,32.43,-16.85,BASANITE [9503],15.80,47.00,17.60
s_93-482 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.50,BASALT [10516],13.27,48.00,5.35
s_ALR5T [521],TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.05,-12.30,BASANITE [521],15.72,48.00,74.00
ATU104,Atiu,-19.98,-158.10,,15.32,48.95,34.82
s_D72A [11695],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE),1.34,-90.86,BASALT [11695],13.22,49.00,13.00
s_114921 [14545],CAPE VERDE ISLANDS / SANTIAGO / MONTE DAS VACAS FORMATION,15.23,-23.74,NOT GIVEN [14545],17.08,49.00,75.00
s_IA1841 [14919],ICELAND / ICELAND / ASKJA,65.05,-16.72,BASALT [14919],12.81,49.40,11.30
s_I1608 [12148],ICELAND / ICELAND,65.15,-13.65,NOT GIVEN [12148],13.45,49.90,4.27
s_OR58 [9565],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,"THOLEIITE, OLIVINE [9565]",13.75,50.00,10.60
s_I1308 [12148],ICELAND / ICELAND,64.66,-14.57,NOT GIVEN [12148],15.74,50.00,16.50
s_RP23 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,BASALT [1230],14.38,50.00,23.30
s_CY-174 [16910],CAPE VERDE ISLANDS / BRAVA,14.86,-24.75,"NEPHELINITE, MELILITE [16910]",11.89,50.00,25.00
s_AII-93-3-9 [2038],WALVIS RIDGE / WALVIS GUYOT PROVINCE / DREDGE AII-93-3,-37.10,-7.78,BASALT [2038],19.38,50.00,26.00
s_329 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.15,-23.65,BASANITE [13086],15.14,50.00,37.00
s_T-21 [982],ICELAND / ICELAND / TORFAJ÷KULL / EASTERN ICELAND RIFT ZONE,63.90,-18.97,BASALT [982],14.19,50.00,54.30
s_F14ñ10 [21239],CAPE VERDE ISLANDS / FOGO / AD 2014 ERUPTION,14.90,-24.35,TEPHRITE [21239],16.54,50.00,70.00
s_GRZF16 [18928],AZORES / GRACIOSA / VULCAO CENTRAL,39.05,-28.05,NOT GIVEN [18928],16.47,50.00,74.00
s_F14ñ7 [21239],CAPE VERDE ISLANDS / FOGO / AD 2014 ERUPTION,14.90,-24.35,TEPHRITE [21239],16.86,50.00,76.00
RVV114,Raivavae,-23.79,-147.69,,15.28,50.63,25.41
s_364 [13086] / s_121-364 [14545],CAPE VERDE ISLANDS / SANTIAGO / LOW-SI GROUP,15.17,-23.60,BASANITE [13086],12.47,51.00,7.00
s_109527 [8504],CAPE VERDE ISLANDS / SAO ANTAO / OLDER VOLCANICS (SAO ANTAO),17.00,-25.00,BASANITE [8504],15.70,51.00,33.00
s_J-41A [4868],SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE,30.14,-15.86,PHONOTEPHRITE [4868] / NOT GIVEN [15508],17.44,51.00,50.90
s_IA2011 [14919],ICELAND / ICELAND / ASKJA,65.06,-16.56,BASALT [14919],12.80,51.10,12.20
s_AZT-03-16 [12941],AZORES / TERCEIRA,38.90,-28.27,BASALT [12941],15.64,51.30,20.10
s_IB1602 [12148],ICELAND / ICELAND,65.13,-13.95,NOT GIVEN [12148],13.18,52.00,10.80
s_H21 [9565],ICELAND / ICELAND / NORTHERN ICELAND RIFT ZONE,65.05,-16.63,"THOLEIITE, QUARTZ [9565]",13.00,52.00,11.80
s_E97130 [6186] / s_E97-130 [6186],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ECUADOR,-0.02,-91.55,BASALT [6186],15.41,52.00,16.34
s_116535 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.46,-17.85,BASANITE [8459],15.10,52.00,36.30
T186,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,13.35,52.00,47.00
s_IB1402 [12148],ICELAND / ICELAND,64.61,-14.74,NOT GIVEN [12148],13.08,52.20,3.93
s_IC2414 [14919],ICELAND / ICELAND / ASKJA,65.05,-16.72,BASALT [14919],12.86,52.40,11.10
s_I2112 [12148],ICELAND / ICELAND,65.06,-14.96,NOT GIVEN [12148],12.91,52.50,11.00
s_93-512 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.50,BASALT [10516],13.50,53.00,8.98
s_RP27 [1230] / s_RP30 [11319],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,BASALT [1230],14.95,53.00,26.60
s_773-1 [12578],CANARY ISLANDS / TENERIFE / SHIELD STAGE / ANAGA UNIT,28.55,-16.01,BASALT [12578],14.11,53.00,53.00
s_I1417 [12148],ICELAND / ICELAND,64.63,-14.92,NOT GIVEN [12148],12.99,53.30,4.60
s_IB2109 [12148],ICELAND / ICELAND,65.06,-14.95,NOT GIVEN [12148],12.71,53.30,12.40
s_ID2305 [14919],ICELAND / ICELAND / ASKJA,65.00,-16.76,BASALT [14919],12.85,53.60,10.90
s_IC2318 [14919],ICELAND / ICELAND / ASKJA,65.02,-16.70,BASALT [14919],12.94,53.60,10.90
s_AZF-03-11 [16224],AZORES / FAIAL,38.78,-29.00,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",16.87,53.84,31.69
s_74KAL-1 [668],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / REJUVENATED STAGE / KALAUPAPA BASALT,21.18,-157.24,"BASALT, ALKALINE, OLIVINE [668]",13.70,54.00,2.68
s_D214.0 [789],MARQUESAS / EIAO,-8.00,-140.67,"THOLEIITE, OLIVINE [789]",14.02,54.00,4.00
s_93-476 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.50,BASALT [10516],13.31,54.00,6.33
s_TBA-B-19 [2662],AUSTRAL-COOK ISLANDS / TUBUAI,-23.38,-149.45,BASALT [2662],15.35,54.00,19.20
s_OR134 [4594] / s_OR-134 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,BASALT [4594] / NOT GIVEN [14498],14.94,54.00,20.00
s_LGV04 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.66,BASALT [1230],15.47,54.00,21.30
s_LVLK108 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.50,"BASALT, ALKALINE [1008]",15.26,54.00,32.00
s_365 [13086],CAPE VERDE ISLANDS / SANTIAGO / LOW-SI GROUP,15.17,-23.60,BASANITE [13086],12.40,54.00,48.00
s_F-14 [7508],CAPE VERDE ISLANDS / FOGO,14.98,-24.38,NOT GIVEN [7508],15.80,54.00,61.70
s_I1413 [12148],ICELAND / ICELAND,64.63,-14.86,NOT GIVEN [12148],12.88,54.20,2.54
s_LGV21 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.66,BASALT [1230],15.12,55.00,18.40
s_T-64 [982],ICELAND / ICELAND / TORFAJ÷KULL / EASTERN ICELAND RIFT ZONE,63.90,-18.97,BASALT [982],14.55,55.00,22.50
s_128 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.50,TRACHYBASALT [847],17.40,55.00,36.90
s_I175 [18177],ICELAND / ICELAND / GRIMSV÷TN / EASTERN ICELAND RIFT ZONE / LAMBAVATN FLOW,64.07,-18.29,BASALT [18177],14.31,56.00,13.40
s_GM92-33 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.50,"BASALT, TRANSITIONAL [973]",13.53,56.00,19.70
s_TF80 [1501],CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA,28.13,-16.61,BASALT [1501],16.01,56.00,30.00
s_PIT-16 [19601],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.10,"BASALT, ALKALINE [19601] / BASALT [757]",15.82,56.00,37.50
s_TF97 [1501],CANARY ISLANDS / TENERIFE,28.13,-16.72,BASALT [1501] / PHONOLITE [4844],15.92,56.00,39.00
s_I1309 [12148],ICELAND / ICELAND,64.67,-14.59,NOT GIVEN [12148],13.89,56.10,12.70
s_69KLPA-14A [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],14.31,56.50,2.09
s_AII-93-3-25 [2038],WALVIS RIDGE / WALVIS GUYOT PROVINCE / DREDGE AII-93-3,-37.10,-7.78,"BASALT [2038] / BASALT, ALKALINE [16977]",16.35,56.60,35.70
s_AZP-03-50 [16224] / s_AZP 03-50 [21396],AZORES / PICO,38.52,-28.52,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",15.38,56.72,23.69
s_I1312 [12148],ICELAND / ICELAND,64.69,-14.64,NOT GIVEN [12148],13.14,56.80,3.59
s_SUC1 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],13.37,57.00,0.70
s_H118 [9565],ICELAND / ICELAND / LJOSUFJOELL / WESTERN ICELAND RIFT ZONE,64.87,-21.98,"BASALT, TRANSITIONAL [9565]",16.89,57.00,9.10
s_AZ05-G [19003],AZORES / TERCEIRA,38.69,-27.36,NOT GIVEN [19003],16.02,57.00,25.00
s_109556 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17.00,-25.00,BASANITE [8504],14.36,57.00,37.00
s_IB2108 [12148],ICELAND / ICELAND,65.05,-14.97,NOT GIVEN [12148],13.23,57.20,11.80
s_I1408 [12148],ICELAND / ICELAND,64.61,-14.75,NOT GIVEN [12148],13.71,57.60,6.28
s_LP-11 [40],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20.00,-155.25,THOLEIITE [40] / NOT GIVEN [15719],13.43,58.00,10.20
s_OR73 [4594] / s_OR-73 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,BASALT [4594] / NOT GIVEN [14498],16.50,58.00,16.00
s_I100 [18177],ICELAND / ICELAND / ÷RAEFAJ÷KULL,63.88,-16.69,BASALT [18177],15.33,58.00,16.10
s_P28 [696] / s_P-28 [656],AZORES / PICO,38.47,-28.30,"BASALT, ALKALINE [696] / NOT GIVEN [21396]",17.67,58.00,61.70
s_F-16 [7508],CAPE VERDE ISLANDS / FOGO,14.94,-24.36,NOT GIVEN [7508],15.49,58.00,62.60
s_F-10 [7508],CAPE VERDE ISLANDS / FOGO,15.00,-24.34,NOT GIVEN [7508],15.40,58.00,64.40
s_T38 [6967],SAMOAN ISLANDS / MANUA ISLANDS / TAU ISLAND,-14.22,-169.48,BASALT [6967],13.93,59.00,16.70
s_LGV09 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.66,BASALT [1230],14.94,59.00,19.70
s_I2115 [12148],ICELAND / ICELAND,65.08,-14.86,NOT GIVEN [12148],13.08,59.10,4.87
s_I2203 [12148],ICELAND / ICELAND,65.18,-14.09,NOT GIVEN [12148],12.61,59.10,17.90
s_AG99-201 [6897],AMSTERDAM-ST. PAUL / ST. PAUL ISLAND,-38.75,77.50,BASALT [6897],19.05,60.00,5.30
s_D754.5 [789],MARQUESAS / EIAO,-8.00,-140.67,"THOLEIITE, QUARTZ [789]",13.73,60.00,7.00
s_93-459 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.50,BASALT [10516],18.05,60.00,7.97
s_F14ñ5 [21239],CAPE VERDE ISLANDS / FOGO / AD 2014 ERUPTION,14.90,-24.35,TEPHRITE [21239],16.80,60.00,68.00
s_KLA1514 [4795],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.50,-18.00,PHONOTEPHRITE [4795] / NOT GIVEN [21412],17.06,60.00,103.20
s_IB2203 [12148],ICELAND / ICELAND,65.17,-14.11,NOT GIVEN [12148],14.15,60.20,7.21
s_21C [16348],MARQUESAS / HIVA OA / TAAOA / SHIELD STAGE,-9.84,-139.09,"THOLEIITE, OLIVINE [16348]",13.80,61.00,16.00
s_MU-11 [1627],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20.00,-155.25,"BASALT [1627] / BASALT, ALKALINE [157] / NOT GIVEN [15719]",14.61,61.00,22.90
s_PMT-72 [15668],AZORES / TERCEIRA / SANTA BARBARA,38.72,-27.22,BASALT [15668],16.42,61.00,25.00
s_WAF-36 [13537],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.31,-157.65,BASALT [13537] / NOT GIVEN [11395],16.56,61.10,10.70
s_IB2204 [12148],ICELAND / ICELAND,65.16,-14.17,NOT GIVEN [12148],12.86,61.10,15.40
s_MU-6 [1627],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20.00,-155.25,"BASALT [1627] / BASALT, ALKALINE [157]",15.24,62.00,3.80
s_BY96-101 [5177],KERGUELEN / KERGUELEN ARCHIPELAGO / MONT FONTAINE,-48.85,69.13,BASALT [5177],13.14,62.00,21.50
s_H99 [12969],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.88,-23.97,"BASALT, ALKALINE [12969]",15.09,62.00,23.70
s_PMT-71 [15668],AZORES / TERCEIRA / SANTA BARBARA,38.72,-27.22,BASALT [15668],16.35,62.00,24.00
s_93-356 [5174],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT DE LA TOURMENTE,-49.50,70.50,"BASALT, ALKALINE [5174] / BASALT [5176]",13.33,62.00,25.80
s_109901 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17.00,-25.00,NEPHELINITE [8504],12.27,62.00,38.00
s_MD-9 [3348],MADEIRA ARCHIPELAGO / MADEIRA / LATE RIFT PHASE,32.74,-16.93,MUGEARITE [3348],18.89,62.00,42.80
s_MU-15 [1627],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20.00,-155.25,BASALT [1627] / THOLEIITE [40] / NOT GIVEN [15719],14.48,63.00,1.00
s_KL77-11 [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,19.33,-155.11,BASALT [22613],13.43,63.00,12.90
s_I276 [18177],ICELAND / ICELAND / ÷RAEFAJ÷KULL,63.90,-16.70,BASALT [18177],15.71,63.00,17.50
s_LVLK130 [1008],KERGUELEN / GABY ISLAND,-48.55,68.50,"BASALT, ALKALINE [1008]",16.68,63.00,26.00
s_111717 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17.00,-25.00,NEPHELINITE [8504],12.17,63.00,40.00
s_I2114 [12148],ICELAND / ICELAND,65.05,-14.96,NOT GIVEN [12148],12.77,63.80,25.90
s_H65-11 [322],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.72,-156.17,"BASALT, ALKALINE [322] / ANKARAMITE [313]",14.14,63.90,18.80
s_C-74 [211],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / UPPER HAMAKUA SERIES,20.00,-155.25,"THOLEIITE [211] / BASALT, THOLEIITIC [121]",14.90,64.00,0.80
s_MAN-96A [452] / s_MAN-96A_UNLEACHED [814],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,"BASANITE [452] / BASALT, ALKALINE, OLIVINE [814]",14.90,64.00,15.40
s_AZT-03-12 [12941] / s_AZT 03-12 [21396],AZORES / TERCEIRA,38.74,-27.26,BASALT [12941] / NOT GIVEN [21396],13.92,64.00,27.20
s_U24 [6967],SAMOAN ISLANDS / UPOLU,-13.93,-171.97,BASALT [6967],15.85,64.00,32.10
s_TDC72 [521],TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.05,-12.30,"BASANITE, ANKARAMITIC [521]",14.40,64.00,47.00
s_I1410 [12148],ICELAND / ICELAND,64.62,-14.80,NOT GIVEN [12148],13.94,64.40,2.00
ATU132,Atiu,-19.98,-158.10,,14.50,64.89,42.84
s_CY-165 [16910],CAPE VERDE ISLANDS / BRAVA,14.89,-24.72,FOIDITE [16910] / BASALT [23527],11.75,64.96,37.50
s_MU-2 [1627],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20.00,-155.25,BASALT [1627] / THOLEIITE [40],14.98,65.00,1.90
s_E-242 [606],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / DARWIN VOLCANO,-0.17,-91.28,BASALT [606],12.42,65.00,5.05
s_93-352 [5174],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT DE LA TOURMENTE,-49.50,70.50,"BASALT, TRANSITIONAL [5174] / BASALT [5176]",13.10,65.00,6.90
s_AZP-03-23 [16224] / s_AZP 03-23 [21396],AZORES / PICO,38.47,-28.23,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",16.66,65.15,17.64
s_I1409 [12148],ICELAND / ICELAND,64.62,-14.78,NOT GIVEN [12148],13.15,65.30,5.26
s_M4.6+150F [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],11.30,65.40,5.57
s_HK-31 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.74,-156.22,BASANITE [20654],13.86,65.40,40.40
s_69KLPA-2 [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,"BASALT, PICRITIC [7517]",13.28,66.00,0.78
s_93-490 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.50,BASALT [10516],13.60,66.00,4.58
s_I171 [18177],ICELAND / ICELAND / ÷RAEFAJ÷KULL,63.98,-16.43,BASALT [18177],19.10,66.00,8.10
s_A12 [856],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / GUIGUI/HOGARZALES FORMATIONS,28.00,-15.60,BASALT [856],14.03,66.00,27.20
s_TF65 [1501],CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA,28.22,-16.79,BASALT [1501],18.89,66.00,78.00
RVV108,Raivavae,-23.79,-147.69,,14.72,66.23,11.64
s_93-360 [5174],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT DE LA TOURMENTE,-49.50,70.50,"BASALT, TRANSITIONAL [5174]",13.81,67.00,1.30
s_H-6 [41],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,19.50,-155.70,"BASALT [41] / BASALT, ALKALINE [157]",14.10,67.00,16.70
s_TF93 [1501],CANARY ISLANDS / TENERIFE,28.30,-16.60,BASALT [1501],16.05,67.00,41.00
s_ALIA-DR103-07 [14912],SAMOAN ISLANDS / MANUA ISLANDS / OFU / SHIELD STAGE,-14.10,-169.90,NOT GIVEN [14912],14.57,67.20,46.94
s_69KLPA-16A [7517],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / KALAUPAPA BASALT,21.18,-157.24,BASALT [7517],12.12,67.60,11.60
s_TF2 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],13.10,68.00,2.60
s_GM92-29 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.50,"BASALT, TRANSITIONAL [973] / BASALT [5176]",12.87,68.00,28.90
